id,track_id,created_at,thread_id,username,body
351284835,326900008,2017/06/17 01:05:32 +0000,1400023,Karl Knight,I'd like to hangout with the Martin family someday. It'd be a lot of fun to do psychedelics and listen to music with Robbie while painting with Abby in the SF/Bay area... That'd be dope.
351281325,326900008,2017/06/17 00:29:48 +0000,24400,Karl Knight,"@ammonammon: I like Robbie's music too, but the intro is from Aphex Twin's latest release Field Day LP. It's on youtube: https://www.youtube.com/watch?v=ZUtt9JZng-g"
350632685,326900008,2017/06/12 22:11:20 +0000,1768918,Media Roots,Robbie meant to say 'hijab' not 'burka'
350468028,326900008,2017/06/11 19:11:01 +0000,7275549,Media Roots,"@trish-roberts-5: Several people are in charge of the official account, but I would bet money it was Assange who posted the articles we are talking about."
350467926,326900008,2017/06/11 19:10:15 +0000,7007428,Media Roots,@trish-roberts-5: Who else is involved? Is anyone else leading it other than the lawyer Robbie talked about? -A
350378545,326900008,2017/06/11 04:17:19 +0000,24400,ammonammon,freakin sweet intro robbie! 
350314060,326900008,2017/06/10 17:35:06 +0000,51699,Karl Knight,"@media-roots: Thanks a lot, Robbie! Didn't know Aphex Twin had a new release. RDJ is one of my favorite musicians and like that you occasionally include his music in the podcast. Noticed that a copy of this LP costs $450.00 at Discogs. Glad it's on youtube. Haha. Keep up the great work!"
350145389,326900008,2017/06/09 15:47:12 +0000,6685741,Echelon Mockingbird,"@trish-roberts-5: Sorry to break it to you, but Bernie is a progressive, that is what progressivism has become."
350112025,326900008,2017/06/09 11:17:48 +0000,7871419,Trish Roberts 5,I think the propaganda war is crazy making for people. 
350111827,326900008,2017/06/09 11:15:41 +0000,7742107,Trish Roberts 5,It's swamping any responsible reporting. 
350111227,326900008,2017/06/09 11:10:11 +0000,7315163,Trish Roberts 5,"Constant critique of all news sources is important today. So much is messed up now: Democracy Now, The Intercept and this Reality Winner thing. It's a mess.  "
350110945,326900008,2017/06/09 11:07:49 +0000,7275549,Trish Roberts 5,who knows how many folks are in control of the Wikileaks account
350110766,326900008,2017/06/09 11:06:19 +0000,7128218,Trish Roberts 5,if i were locked up in a tiny room for 5 years plus and my friends were making even small digs at me in a doc i might have a problem too. 
350110475,326900008,2017/06/09 11:03:37 +0000,7007428,Trish Roberts 5,Theres a lot of folks with involvement in the DNC lawsuit. 
350109980,326900008,2017/06/09 10:59:32 +0000,0,Trish Roberts 5,"i think that the Seth Rich issue has become a thing because Julian Assange was retweeting Seth Rich articles and alao referred to him without saying his name and offered a reward. So I think thats why some folks like Sane Progressive and HA Goodman were on to it. The Pizzagate thing was too out there and nothing concrete, but Assange set wheels in motiin with his tweets. "
350109258,326900008,2017/06/09 10:52:32 +0000,6685741,Trish Roberts 5,"the Russia hack issue is not the only problem with Cenk's TYT channel. Look at TYT promoting Justice Democrats and one of JD's key candidates is Ro Khanna (an imperialist who believes in ""American exceptualism"" and in really a corporatist like the others in the DNC. THAT'S who TYT and Cenk are taking heaps of donations to support and promote. Thats just one of many problems with that group. AND they STILL promote Sanders as if he is a progressive. TYT has become a ""sheepdogger"" like Sanders is for the DNC. "
350108402,326900008,2017/06/09 10:44:33 +0000,5560725,Trish Roberts 5,Sane Progressive (Debbie Lusignan) has nothing to do with any of the folks associated with TYT ( The YoungTurks). TYT are a lost cause. In fact many TYT folks  troll Sane Progressive. 
350104981,326900008,2017/06/09 10:13:38 +0000,5241358,Trish Roberts 5,i think he is probabky suffering naturally from the psychological torture of his political detention. He's amazing that he is able to endure it. 
350087394,326900008,2017/06/09 07:15:03 +0000,6190050,Brett Gleason,"WA PO and their corp. ass kissing n fake news, you guys talk about that next time maybe?"
350086843,326900008,2017/06/09 07:07:55 +0000,5462367,Brett Gleason,"Abbys piece on Hillary and her campaign manager blew me away, So you can imagine how reading Julius's stuff, I'm not smart enough to get into peoples heads for motive, agenda etc. why I listen to you guys. You do the thinking for me. Good talk you guys."
350086338,326900008,2017/06/09 07:01:12 +0000,4794511,Brett Gleason,"Julius has been in cabin fever mode, basically living throw the net and his hatred for the CIA he's gotta be as batty as Trump."
349916842,326900008,2017/06/08 06:42:24 +0000,4511148,DogH20,Corbyn rocks!!
349916413,326900008,2017/06/08 06:36:28 +0000,3852541,DogH20,@dogh20: Wow
349916198,326900008,2017/06/08 06:33:15 +0000,3852541,DogH20,@dogh20: Poor Yemen
349916075,326900008,2017/06/08 06:31:43 +0000,3852541,DogH20,Bono blows and radio head sucks too
349902578,326900008,2017/06/08 03:35:09 +0000,7623951,Media Roots,@glamour-schatz: more HA Goodman on George Webb: https://www.youtube.com/watch?v=b_V0cHZL2TI
349901641,326900008,2017/06/08 03:24:16 +0000,7623951,Media Roots,@glamour-schatz: I agree with HA on this one -R 'SETH RICH INVESTIGATOR GEORGE WEBB MAKES IRRESPONSIBLE CLAIMS OF FINDING SETH RICH MURDERER' https://www.youtube.com/watch?v=LaLFn6m9d2Y
349901235,326900008,2017/06/08 03:19:29 +0000,7074593,Truth Freedom,thx
349898083,326900008,2017/06/08 02:44:00 +0000,51699,Media Roots,"@arlnight: it's from the limited edition Aphex Twin 12"" release titled 'London' released last week"
349887918,326900008,2017/06/08 00:53:16 +0000,7623951,Glamour schatz,George Webb has been doing an investigation on the ground. You all don't seem very privy to what he is uncovered
349884311,326900008,2017/06/08 00:18:53 +0000,2576399,Media Roots,Dennis Kucinich heroic attempt to impeach George W Bush https://www.youtube.com/watch?v=ziF7dZQdct8
349878712,326900008,2017/06/07 23:26:32 +0000,5626834,Media Roots,Wikileaks un-redacts a partly redacted NSA document obtained by the Intercept https://wikileaks.org/WikiLeaks-statement-on-the-mass.html
349878233,326900008,2017/06/07 23:22:03 +0000,5340035,Media Roots,"Craig Murray, former UK ambassador to Uzbekistan and whistleblower, discusses his article claiming the DNC and Podesta emails came from U.S., not Russian, sources - https://www.libertarianinstitute.org/scotthortonshow/121316-craig-murray-dnc-podesta-emails-leaked-americans-not-hacked-russia/"
349877762,326900008,2017/06/07 23:17:25 +0000,5074613,Media Roots,Wikileaks twitter promotes Ben Swann's 'Reality Check' CBS local news video about Pizzagate https://twitter.com/wikileaks/status/821595404500430848?lang=en
349877575,326900008,2017/06/07 23:15:43 +0000,4987203,Media Roots,Wikileaks tweets out WeAreChange 'Spirit Cooking' article https://twitter.com/wikileaks/status/794450623404113920?lang=en
349877490,326900008,2017/06/07 23:14:48 +0000,4765148,Media Roots,'The Pizzagate Files' with Robbie Martin & Daniel Wright https://www.youtube.com/watch?v=ku8Oz2Y2huk&t=51s
349875444,326900008,2017/06/07 22:56:09 +0000,5693898,Sean Arclight,Great point Robbie! Julian is being tactical on social media.. could be!
349874889,326900008,2017/06/07 22:51:21 +0000,5483435,Sean Arclight,I hear what you are saying about Julian A. He is a true hero!!
349801959,326900008,2017/06/07 14:13:44 +0000,854157,Karl Knight,"Abby's frat boy impressions are hilarious. ""I'm just trollin', bro. Trollin' it up."" Haha. Glad she made it back home safely."
349750502,326900008,2017/06/07 06:02:33 +0000,51699,Karl Knight,What's this track at the beginning? Sounds like an Aphex Twin remix.
348634948,319656982,2017/05/30 22:20:28 +0000,3282815,Echelon Mockingbird,"@user-21779626: Worse. NWO IngSoc Fabians. Before people talked about Bilderberg, they talked about the CFR. None Dare Call It Conspiracy (1971): http://www.whale.to/b/allen_b1.html"
344560494,319656982,2017/05/05 20:49:41 +0000,3282815,JeNi,"From what read on it's website and the article they link to on their Twitter account, CFR is a neoliberal think tank."
344554491,319656982,2017/05/05 20:06:47 +0000,1472946,jerran2014,goodmidiaroots
343986675,319656982,2017/05/02 14:36:13 +0000,4864390,Len,"Whoa you guys! To say that Britain has no legal rights for its citizens is way off. The fact that it has no written constitution is largely a formality since it has had a system of legal precedent/conventions and acts of parliament (e.g. Bill of Rights of 1689) that has worked quite well for a very long time compared to other “democracies”. Canada did not get its own constitutional independence until 1982 but it worked quite well up until then. No system, no matter how carefully crafted can prevent its subversion by criminals in power – such people will always find a way to subvert/manipulate things to their own advantage."
343976138,319656982,2017/05/02 13:08:51 +0000,3182958,Len,Here is one example of why there is no way to know just how many people the U.S. military has slaughtered http://www.militarytimes.com/articles/airstrikes-unreported-syria-iraq-afghanistan-islamic-state-al-qaeda-taliban
343863134,319656982,2017/05/01 17:44:35 +0000,3036254,Len,There is certainly more to the continuing American occupation of Afghanistan that saving face: don't you remember the Wilkerson interview? I'm sure he has a lot more to say on that. Rampant demoralization and drug use is exactly what happened to the Soviets - but the U.S. has never been too good at learning from other countries' mistakes (e.g. Vietnam).
343661192,319656982,2017/04/30 06:17:53 +0000,1397053,Ethaniel RockX,Good point man!
